week,day,channel,content_type,theme,primary_cta,asset_needed,status,owner
1,Mon,Instagram,Quote Card,Every accusation is advertising,Visit site,quote-card-01.png,Planned,Marketing
1,Tue,X,Thread,Case-file framing,Read series brief,none,Planned,Marketing
1,Wed,TikTok,Short Video,Hook line 01,Start Book One,video-hook-01.mp4,Planned,Marketing
1,Thu,Newsletter,Email,Welcome + trilogy promise,Read sample chapter,email-01,Planned,Marketing
1,Fri,Instagram,Carousel,Book One atmosphere,Visit retailer page,carousel-01,Planned,Marketing
2,Mon,X,Single Post,Children are not evidence,Visit site,none,Planned,Marketing
2,Tue,Instagram,Reel,Hook line 04,Start Book Two,reel-02.mp4,Planned,Marketing
2,Wed,TikTok,Short Video,Look-Away Ledger concept,Read excerpt,video-hook-02.mp4,Planned,Marketing
2,Thu,Newsletter,Email,Institutional dread angle,Buy Book One,email-02,Planned,Marketing
2,Fri,X,Thread,Why not chosen-one,Read press kit,none,Planned,Marketing
3,Mon,Instagram,Quote Card,Some days refused to become evidence,Visit site,quote-card-03.png,Planned,Marketing
3,Tue,X,Single Post,Book Three refusal angle,Start trilogy,none,Planned,Marketing
3,Wed,TikTok,Short Video,Hook line 10,Start Book Three,video-hook-03.mp4,Planned,Marketing
3,Thu,Newsletter,Email,Book ladder path,Continue trilogy,email-03,Planned,Marketing
3,Fri,Instagram,Story Poll,Reader intent poll,Read sample,story-poll-01,Planned,Marketing
4,Mon,X,Thread,Series world timeline,Visit press page,none,Planned,Marketing
4,Tue,Instagram,Carousel,3-book progression,Start Book One,carousel-02,Planned,Marketing
4,Wed,TikTok,Short Video,Hook line 02,Visit site,video-hook-04.mp4,Planned,Marketing
4,Thu,Newsletter,Email,ARC/review ask,Leave review,email-04,Planned,Marketing
4,Fri,X,Single Post,Pull quote + CTA,Read now,none,Planned,Marketing
5,Mon,Instagram,Reel,Author POV clip,Read series brief,reel-05.mp4,Planned,Marketing
5,Tue,X,Thread,Language and power theme,Visit site,none,Planned,Marketing
5,Wed,TikTok,Short Video,Hook line 07,Start trilogy,video-hook-05.mp4,Planned,Marketing
5,Thu,Newsletter,Email,Mid-campaign social proof,Buy now,email-05,Planned,Marketing
5,Fri,Instagram,Quote Card,Children are not evidence,Read Book Two,quote-card-05.png,Planned,Marketing
6,Mon,X,Single Post,Book One case-file angle,Read sample,none,Planned,Marketing
6,Tue,Instagram,Carousel,Book covers + hooks,Visit retailer,carousel-03,Planned,Marketing
6,Wed,TikTok,Short Video,Hook line 03,Visit site,video-hook-06.mp4,Planned,Marketing
6,Thu,Newsletter,Email,Feature/interview highlight,Read press,email-06,Planned,Marketing
6,Fri,X,Thread,Reader objection handling,Start Book One,none,Planned,Marketing
7,Mon,Instagram,Reel,Quote + atmosphere,Buy trilogy,reel-07.mp4,Planned,Marketing
7,Tue,X,Single Post,Quiet ending differentiation,Read Book Three,none,Planned,Marketing
7,Wed,TikTok,Short Video,Hook line 08,Visit site,video-hook-07.mp4,Planned,Marketing
7,Thu,Newsletter,Email,Launch push reminder,Buy now,email-07,Planned,Marketing
7,Fri,Instagram,Story,Countdown + CTA,Read now,story-07,Planned,Marketing
8,Mon,X,Thread,What readers are saying,Visit site,none,Planned,Marketing
8,Tue,Instagram,Quote Card,Protection had saved him,Start trilogy,quote-card-08.png,Planned,Marketing
8,Wed,TikTok,Short Video,Hook line 09,Read Book One,video-hook-08.mp4,Planned,Marketing
8,Thu,Newsletter,Email,Post-launch recap + CTA,Continue trilogy,email-08,Planned,Marketing
8,Fri,Instagram,Carousel,Best quotes of campaign,Visit press kit,carousel-08,Planned,Marketing
